Sheet_Name,Role_Name,Date,Time,Duration,Responses
Forecasting - Demand Planning,"1. Director, Information Services/IT-1 IT-1",2023-03-16,18:59:21,4.213,"[""Don't Know/NA"", ""Don't Know/NA"", ""Don't Know/NA"", ""Don't Know/NA"", ""Don't Know/NA"", ""Don't Know/NA"", ""Don't Know/NA"", ""Don't Know/NA"", ""Don't Know/NA"", ""Don't Know/NA"", ""Don't Know/NA"", ""Don't Know/NA"", ""Don't Know/NA"", ""Don't Know/NA"", ""Don't Know/NA"", ""Don't Know/NA"", ""Don't Know/NA"", ""Don't Know/NA"", ""Don't Know/NA"", ""Don't Know/NA"", ""Don't Know/NA"", ""Don't Know/NA"", ""Don't Know/NA"", ""Don't Know/NA"", ""Don't Know/NA"", ""Don't Know/NA"", ""Don't Know/NA"", ""Don't Know/NA"", 'Rarely/Never', ""Don't Know/NA"", 'Rarely/Never', ""Don't Know/NA"", ""Don't Know/NA"", ""Don't Know/NA"", 'Rarely/Never']"
Forecasting - Demand Planning,"1. Director, Information Services/IT-1 IT-1",2023-03-16,20:32:08,5.584,"['Always/Frequent', ""Don't Know/NA"", ""Don't Know/NA"", ""Don't Know/NA"", ""Don't Know/NA"", ""Don't Know/NA"", ""Don't Know/NA"", ""Don't Know/NA"", ""Don't Know/NA"", ""Don't Know/NA"", ""Don't Know/NA"", ""Don't Know/NA"", ""Don't Know/NA"", ""Don't Know/NA"", ""Don't Know/NA"", ""Don't Know/NA"", ""Don't Know/NA"", ""Don't Know/NA"", ""Don't Know/NA"", ""Don't Know/NA"", ""Don't Know/NA"", ""Don't Know/NA"", ""Don't Know/NA"", ""Don't Know/NA"", ""Don't Know/NA"", ""Don't Know/NA"", ""Don't Know/NA"", ""Don't Know/NA"", ""Don't Know/NA"", ""Don't Know/NA"", ""Don't Know/NA"", ""Don't Know/NA"", ""Don't Know/NA"", ""Don't Know/NA"", ""Don't Know/NA""]"
Procurement,3. Director of Sales/Marketing/Sales-Marketing1 Sales-Marketing1,2023-03-17,00:19:56,18.479,"['Rarely/Never', ""Don't Know/NA"", 'Rarely/Never', ""Don't Know/NA"", 'Rarely/Never', ""Don't Know/NA"", 'Rarely/Never', ""Don't Know/NA"", 'Rarely/Never', 'Always/Frequent', 'Rarely/Never', ""Don't Know/NA"", ""Don't Know/NA"", 'Always/Frequent', 'Rarely/Never', ""Don't Know/NA"", 'Rarely/Never', 'Always/Frequent']"
Forecasting - Demand Planning,"1. Director, Information Services/IT-1 IT-1",2023-03-17,05:10:29,6.691,"[""Don't Know/NA"", ""Don't Know/NA"", ""Don't Know/NA"", ""Don't Know/NA"", ""Don't Know/NA"", ""Don't Know/NA"", ""Don't Know/NA"", ""Don't Know/NA"", ""Don't Know/NA"", ""Don't Know/NA"", 'Rarely/Never', ""Don't Know/NA"", ""Don't Know/NA"", ""Don't Know/NA"", ""Don't Know/NA"", ""Don't Know/NA"", ""Don't Know/NA"", ""Don't Know/NA"", ""Don't Know/NA"", ""Don't Know/NA"", ""Don't Know/NA"", ""Don't Know/NA"", ""Don't Know/NA"", ""Don't Know/NA"", ""Don't Know/NA"", ""Don't Know/NA"", 'Rarely/Never', ""Don't Know/NA"", ""Don't Know/NA"", ""Don't Know/NA"", ""Don't Know/NA"", ""Don't Know/NA"", ""Don't Know/NA"", ""Don't Know/NA"", ""Don't Know/NA""]"
Strategic Sourcing,"1. Director, Information Services/IT-1 IT-1",2023-03-18,00:58:06,2.112,"[""Don't Know/NA"", ""Don't Know/NA"", ""Don't Know/NA"", ""Don't Know/NA"", ""Don't Know/NA"", ""Don't Know/NA"", ""Don't Know/NA"", ""Don't Know/NA"", ""Don't Know/NA"", ""Don't Know/NA"", ""Don't Know/NA"", ""Don't Know/NA"", ""Don't Know/NA"", ""Don't Know/NA"", ""Don't Know/NA"", ""Don't Know/NA"", ""Don't Know/NA"", ""Don't Know/NA"", ""Don't Know/NA"", ""Don't Know/NA"", ""Don't Know/NA"", ""Don't Know/NA"", ""Don't Know/NA"", ""Don't Know/NA"", ""Don't Know/NA"", ""Don't Know/NA"", ""Don't Know/NA"", ""Don't Know/NA"", ""Don't Know/NA"", ""Don't Know/NA"", ""Don't Know/NA"", ""Don't Know/NA"", ""Don't Know/NA"", ""Don't Know/NA"", ""Don't Know/NA""]"
Strategic Sourcing,"1. Director, Information Services/IT-1 IT-1",2023-03-18,00:58:09,0.986,"[""Don't Know/NA"", ""Don't Know/NA"", ""Don't Know/NA"", ""Don't Know/NA"", ""Don't Know/NA"", ""Don't Know/NA"", ""Don't Know/NA"", ""Don't Know/NA"", ""Don't Know/NA"", ""Don't Know/NA"", ""Don't Know/NA"", ""Don't Know/NA"", ""Don't Know/NA"", ""Don't Know/NA"", ""Don't Know/NA"", ""Don't Know/NA"", ""Don't Know/NA"", ""Don't Know/NA"", ""Don't Know/NA"", ""Don't Know/NA"", ""Don't Know/NA"", ""Don't Know/NA"", ""Don't Know/NA"", ""Don't Know/NA"", ""Don't Know/NA"", ""Don't Know/NA"", ""Don't Know/NA"", ""Don't Know/NA"", ""Don't Know/NA"", ""Don't Know/NA"", ""Don't Know/NA"", ""Don't Know/NA"", ""Don't Know/NA"", ""Don't Know/NA"", ""Don't Know/NA""]"
Strategic Sourcing,"6. Manager, Demand Planning/Demand Plan1 Demand Plan1",2023-03-18,00:58:22,1.03,"[""Don't Know/NA"", ""Don't Know/NA"", ""Don't Know/NA"", ""Don't Know/NA"", ""Don't Know/NA"", ""Don't Know/NA"", ""Don't Know/NA"", ""Don't Know/NA"", ""Don't Know/NA"", ""Don't Know/NA"", ""Don't Know/NA"", ""Don't Know/NA"", ""Don't Know/NA"", ""Don't Know/NA"", ""Don't Know/NA"", ""Don't Know/NA"", ""Don't Know/NA"", ""Don't Know/NA"", ""Don't Know/NA"", ""Don't Know/NA"", ""Don't Know/NA"", ""Don't Know/NA"", ""Don't Know/NA"", ""Don't Know/NA"", ""Don't Know/NA"", ""Don't Know/NA"", ""Don't Know/NA"", ""Don't Know/NA"", ""Don't Know/NA"", ""Don't Know/NA"", ""Don't Know/NA"", ""Don't Know/NA"", ""Don't Know/NA"", ""Don't Know/NA"", ""Don't Know/NA""]"
New Product Development,5. Sales Representative/Sales Rep1 Sales Rep1,2023-03-18,00:59:22,6.113,"['Always/Frequent', ""Don't Know/NA"", 'Rarely/Never', ""Don't Know/NA"", ""Don't Know/NA"", ""Don't Know/NA"", ""Don't Know/NA"", ""Don't Know/NA"", ""Don't Know/NA"", ""Don't Know/NA"", 'Rarely/Never', ""Don't Know/NA"", 'Always/Frequent', ""Don't Know/NA"", 'Always/Frequent']"
Sales & Ops Planning,7. Promotions Analyst/Demand Plan2 Demand Plan2,2023-03-18,00:59:41,12.181,"['Rarely/Never', 'Rarely/Never', ""Don't Know/NA"", 'Rarely/Never', ""Don't Know/NA"", 'Rarely/Never', ""Don't Know/NA"", 'Always/Frequent', ""Don't Know/NA"", ""Don't Know/NA"", ""Don't Know/NA"", ""Don't Know/NA"", 'Rarely/Never', ""Don't Know/NA"", ""Don't Know/NA"", ""Don't Know/NA"", ""Don't Know/NA"", 'Always/Frequent', ""Don't Know/NA"", ""Don't Know/NA"", 'Always/Frequent', ""Don't Know/NA"", ""Don't Know/NA"", 'Always/Frequent']"
Forecasting - Demand Planning,"1. Director, Information Services/IT-1 IT-1",2023-03-18,03:27:07,3.637,"['Always/Frequent', ""Don't Know/NA"", ""Don't Know/NA"", ""Don't Know/NA"", ""Don't Know/NA"", ""Don't Know/NA"", ""Don't Know/NA"", ""Don't Know/NA"", ""Don't Know/NA"", ""Don't Know/NA"", ""Don't Know/NA"", ""Don't Know/NA"", ""Don't Know/NA"", ""Don't Know/NA"", ""Don't Know/NA"", ""Don't Know/NA"", ""Don't Know/NA"", ""Don't Know/NA"", ""Don't Know/NA"", ""Don't Know/NA"", ""Don't Know/NA"", ""Don't Know/NA"", ""Don't Know/NA"", ""Don't Know/NA"", ""Don't Know/NA"", ""Don't Know/NA"", ""Don't Know/NA"", ""Don't Know/NA"", ""Don't Know/NA"", ""Don't Know/NA"", ""Don't Know/NA"", ""Don't Know/NA"", ""Don't Know/NA"", ""Don't Know/NA"", ""Don't Know/NA""]"
